barcode,brand_id,category,categoryCode,cpgOid,name,topBrand,brandCode
5.11111E+11,5ff75cdfbe37ce1e961f328f,Baking,BAKING,5ff75cdebe37ce1e961f328c,test brand @1610046687007,FALSE,TEST BRANDCODE @1610046687007
5.11112E+11,5ff75cdfbe37ce1e961f3290,Baking,BAKING,5ff75cdebe37ce1e961f328c,test brand @1610046687035,FALSE,TEST BRANDCODE @1610046687035
5.11112E+11,5ff75cdebe37ce1e961f328e,Baking,BAKING,5ff75cdebe37ce1e961f328c,test brand @1610046686980,FALSE,TEST BRANDCODE @1610046686980
5.11111E+11,5f504ac2be37ce0b793c9414,Baking,BAKING,5f504ac2be37ce0b793c9411,test brand @1599097538571,,TEST BRANDCODE @1599097538572
5.11111E+11,5e710dd5ee7f2d0b35b2a193,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,5e5ea9cc9c50da1291a6d074,I CAN'T BELIEVE IT'S NOT BUTTER!,,I CAN'T BELIEVE IT'S NOT BUTTER
5.11111E+11,5fcff304be37ce6d53dfc686,Baking,BAKING,5fcff304be37ce6d53dfc683,test brand @1607463684777,FALSE,TEST BRANDCODE @1607463684777
5.11112E+11,585a961fe4b03e62d1ce0e76,Snacks,,5332f5fbe4b03c9a25efd0ba,Baken-Ets,TRUE,BAKEN-ETS
5.11111E+11,5daf472da60b87376833e35e,Dairy,,5332f5f3e4b03c9a25efd0ae,LIBERTÃ‰Â®,,LIBERTE
5.11111E+11,5dc076e41dda2c0ad7da64ab,Breakfast & Cereal,,53e10d6368abd3c7065097cc,Apple Cinnamon Cheeriosâ„¢,,APPLE CINNAMON CHEERIOS
5.11112E+11,5a5d2695e4b0db471c2d042d,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,St. Stefanus,,ST STEFANUS
5.11111E+11,5332f5ebe4b03c9a25efd0a7,,,5332f5ebe4b03c9a25efd0a8,Monster,,
